FID	OBJECTID	SYSTEMSTOP	STREET	CROSS_ST	DIR	POS	ROUTESSTPG	OWLROUTES	CITY	STATUS	PUBLIC_NAM	POINT_X	POINT_Y
5006	4820	12259	106TH STREET	AVENUE B (west leg)	WB	NS	100	 	CHICAGO	1	106th Street & Avenue B	-87.52661153	41.70278753
5007	4821	495	MADISON	KILPATRICK	WB	NS	20	N20	CHICAGO	1	Madison & Kilpatrick	-87.74259	41.880632
5008	4822	954	NORTH AVENUE	FRANCISCO	WB	NS	72	 	CHICAGO	1	North Ave & Francisco	-87.69890875	41.91030323
5009	4823	9515	87TH STREET	FRANCISCO (east leg)	WB	NS	87	 	CHICAGO	1	87th Street & Francisco	-87.69455404	41.73543041
5010	4824	11169	HOMAN	CARROLL	SB	NS	82	 	CHICAGO	1	Homan & Carroll	-87.711267	41.887535
5011	4825	8783	DAMEN	64TH STREET	SB	NS	48	 	CHICAGO	1	Damen & 64th Street	-87.673919	41.777607
5012	4826	9535	NAGLE	PALATINE	SB	NS	86	 	CHICAGO	1	Nagle & Palatine	-87.787569	41.995627
5013	4827	8999	PULASKI	ROSCOE (north leg)	SB	NS	53	N53	CHICAGO	1	Pulaski & Roscoe	-87.72740318	41.94323174
5014	4828	2213	KING DRIVE	46TH STREET	SB	FS	3	 	CHICAGO	1	King Drive & 46th Street	-87.61674851	41.81104699
5015	5016	9059	PULASKI	27TH STREET	SB	NS	53	 	CHICAGO	1	Pulaski & 27th Street	-87.724565	41.842483
5016	5017	3251	63RD STREET	HOYNE	WB	NS	63	N63	CHICAGO	1	63rd Street & Hoyne	-87.67615837	41.77936676
5017	5018	6405	26TH STREET	SPRINGFIELD	WB	NS	60	N60	CHICAGO	1	26th Street & Springfield	-87.72201284	41.84434093
5018	5019	8727	DAMEN	62ND STREET	NB	NS	48	 	CHICAGO	1	Damen & 62nd Street	-87.673852	41.781086
5019	5020	9150	PULASKI	VICTORIA	NB	NT	53	 	CHICAGO	1	Pulaski & Victoria	-87.728381	41.984885
5020	5021	1573	MICHIGAN	21ST STREET	NB	FS	"1,3,4"	N4	CHICAGO	1	Michigan & 21st Street	-87.62374128	41.85452045
5021	5022	6286	CLARK	15TH STREET	NB	NS	24	 	CHICAGO	1	Clark & 15th Street	-87.6302	41.861785
5022	5023	9975	KEDZIE	102ND STREET (south leg)	NB	NS	52A	 	EVERGREEN PARK	1	Kedzie & 102nd Street	-87.70130407	41.70747742
5023	5024	9089	PULASKI	VAN BUREN	NB	NS	53	N53	CHICAGO	1	Pulaski & Van Buren	-87.72537521	41.87515999
5024	5025	11274	KIMBALL	BYRON	NB	NS	82	 	CHICAGO	1	Kimball & Byron	-87.712775	41.951955
5025	5026	283	ROOSEVELT	ALBANY	EB	NS	12	 	CHICAGO	1	Roosevelt & Albany	-87.703247	41.86634562
5026	5027	3370	65TH STREET	LOCKWOOD	EB	MT	165	 	BEDFORD PARK	1	65th Street & Lockwood	-87.75422914	41.7744548
5027	5028	11023	DIVERSEY	GREENVIEW	EB	FS	76	 	CHICAGO	1	Diversey & Greenview	-87.6658698	41.93237707
5028	5029	3353	65TH STREET	6900 WEST	EB	MB	165	 	BEDFORD PARK	1	6900 W 65th Street	-87.79408912	41.77370503
5029	5030	11949	93RD STREET	ESCANABA	EB	NS	"N5,95"	N5	CHICAGO	1	93rd Street & Escanaba	-87.554132	41.726358
5030	5031	5357	BROADWAY	W. SHERIDAN (3900 N)	SB	NS	 	 	CHICAGO	1	Broadway & W. Sheridan (3900 N)	-87.64976	41.95302
5031	5032	14470	CLARENDON	LELAND	NB	FT	148	 	CHICAGO	1	Clarendon & Leland	-87.6499926	41.96727947
5032	5033	795	GRAND	TALMAN	WB	NS	65	 	CHICAGO	1	Grand & Talman	-87.69267042	41.89280899
5033	5034	650	CHICAGO	KEELER	WB	NS	66	 	CHICAGO	1	Chicago & Keeler	-87.73090378	41.89535402
5034	5035	9524	87TH STREET	SPRINGFIELD	WB	NS	87	 	CHICAGO	1	87th Street & Springfield	-87.71885216	41.73501024
5035	5036	242	HARRISON	KOLMAR (west leg)	WB	NS	7	 	CHICAGO	1	Harrison & Kolmar	-87.73913875	41.87330223
5036	5037	11099	DIVERSEY	MELVINA	WB	NS	76	 	CHICAGO	1	Diversey & Melvina	-87.78076333	41.93113391
5037	5038	13080	59TH STREET	ALBANY	WB	NS	59	 	CHICAGO	1	59th Street & Albany	-87.70079972	41.78636091
